Subject,Run,Volume,File,HD (mm)
2103-T2,run1,vol0009,('test-GT-masks-WSU/binary/bin_mask_zpr_2103-T2_run1_vol0009.nii.gz',11.06797181
2103-T2,run1,vol0050,('test-GT-masks-WSU/binary/bin_mask_zpr_2103-T2_run1_vol0050.nii.gz',11.60818677
2103-T2,run1,vol0124,('test-GT-masks-WSU/binary/bin_mask_zpr_2103-T2_run1_vol0124.nii.gz',7.826237921
2103-T2,run1,vol0172,('test-GT-masks-WSU/binary/bin_mask_zpr_2103-T2_run1_vol0172.nii.gz',7.826237921
2105-T1,run1,vol0015,('test-GT-masks-WSU/binary/bin_mask_zpr_2105-T1_run1_vol0015.nii.gz',10.5
2105-T1,run1,vol0070,('test-GT-masks-WSU/binary/bin_mask_zpr_2105-T1_run1_vol0070.nii.gz',8.5732141
2105-T1,run1,vol0095,('test-GT-masks-WSU/binary/bin_mask_zpr_2105-T1_run1_vol0095.nii.gz',14.43086969
2105-T1,run1,vol0107,('test-GT-masks-WSU/binary/bin_mask_zpr_2105-T1_run1_vol0107.nii.gz',10.5
2105-T1,run1,vol0135,('test-GT-masks-WSU/binary/bin_mask_zpr_2105-T1_run1_vol0135.nii.gz',10.5
2105-T1,run1,vol0155,('test-GT-masks-WSU/binary/bin_mask_zpr_2105-T1_run1_vol0155.nii.gz',13.09580085
2105-T2,run2,vol0060,('test-GT-masks-WSU/binary/bin_mask_zpr_2105-T2_run2_vol0060.nii.gz',8.5732141
2105-T2,run2,vol0101,('test-GT-masks-WSU/binary/bin_mask_zpr_2105-T2_run2_vol0101.nii.gz',8.5732141
2105-T2,run2,vol0131,('test-GT-masks-WSU/binary/bin_mask_zpr_2105-T2_run2_vol0131.nii.gz',10.5
2105-T2,run2,vol0170,('test-GT-masks-WSU/binary/bin_mask_zpr_2105-T2_run2_vol0170.nii.gz',10.5
2107-T2,run2,vol0054,('test-GT-masks-WSU/binary/bin_mask_zpr_2107-T2_run2_vol0054.nii.gz',7.826237921
2107-T2,run2,vol0125,('test-GT-masks-WSU/binary/bin_mask_zpr_2107-T2_run2_vol0125.nii.gz',10.5
2107-T2,run2,vol0175,('test-GT-masks-WSU/binary/bin_mask_zpr_2107-T2_run2_vol0175.nii.gz',7.826237921
2117-T2,run1,vol0048,('test-GT-masks-WSU/binary/bin_mask_zpr_2117-T2_run1_vol0048.nii.gz',7.826237921
2117-T2,run1,vol0155,('test-GT-masks-WSU/binary/bin_mask_zpr_2117-T2_run1_vol0155.nii.gz',7
2117-T2,run1,vol0340,('test-GT-masks-WSU/binary/bin_mask_zpr_2117-T2_run1_vol0340.nii.gz',7.826237921
2136-T1,run2,vol0086,('test-GT-masks-WSU/binary/bin_mask_zpr_2136-T1_run2_vol0086.nii.gz',9.899492239
2136-T1,run2,vol0123,('test-GT-masks-WSU/binary/bin_mask_zpr_2136-T1_run2_vol0123.nii.gz',4.949747468
2136-T1,run2,vol0217,('test-GT-masks-WSU/binary/bin_mask_zpr_2136-T1_run2_vol0217.nii.gz',7.000003815
2136-T1,run2,vol0239,('test-GT-masks-WSU/binary/bin_mask_zpr_2136-T1_run2_vol0239.nii.gz',7.826234509
2136-T1,run2,vol0330,('test-GT-masks-WSU/binary/bin_mask_zpr_2136-T1_run2_vol0330.nii.gz',4.949750166
2142-T1,run1,vol0106,('test-GT-masks-WSU/binary/bin_mask_zpr_2142-T1_run1_vol0106.nii.gz',8.5732141
2142-T1,run1,vol0135,('test-GT-masks-WSU/binary/bin_mask_zpr_2142-T1_run1_vol0135.nii.gz',6.062177826
2142-T1,run1,vol0180,('test-GT-masks-WSU/binary/bin_mask_zpr_2142-T1_run1_vol0180.nii.gz',7
2142-T1,run1,vol0303,('test-GT-masks-WSU/binary/bin_mask_zpr_2142-T1_run1_vol0303.nii.gz',7.826237921
2150-T1,run1,vol0080,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0080.nii.gz',7
2150-T1,run1,vol0123,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0123.nii.gz',7
2150-T1,run1,vol0147,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0147.nii.gz',7.826237921
2150-T1,run1,vol0175,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0175.nii.gz',7.826237921
