Subject,Run,Volume,File,Dice,Jaccard
2142-T1,run1,vol0303,('test-GT-masks-WSU/binary/bin_mask_zpr_2142-T1_run1_vol0303.nii.gz',0.964307845,0.931075692
2150-T1,run1,vol0080,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0080.nii.gz',0.957790017,0.918999076
2150-T1,run1,vol0123,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0123.nii.gz',0.95853442,0.920370698
2150-T1,run1,vol0147,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0147.nii.gz',0.950982273,0.906545579
2150-T1,run1,vol0175,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0175.nii.gz',0.961779654,0.926373422
2150-T1,run1,vol0239,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0239.nii.gz',0.963925242,0.930362642
2150-T1,run1,vol0270,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0270.nii.gz',0.961644351,0.926122367
2150-T1,run1,vol0305,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0305.nii.gz',0.948607028,0.902238369
2150-T1,run1,vol0330,('test-GT-masks-WSU/binary/bin_mask_zpr_2150-T1_run1_vol0330.nii.gz',0.96095556,0.924845457
2152-T1,run1,vol0025,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0025.nii.gz',0.933717608,0.875675678
2152-T1,run1,vol0110,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0110.nii.gz',0.936514914,0.880609453
2152-T1,run1,vol0125,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0125.nii.gz',0.935610712,0.87901181
2152-T1,run1,vol0215,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0215.nii.gz',0.938895881,0.884829223
2152-T1,run1,vol0240,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0240.nii.gz',0.9316203,0.871993661
2152-T1,run1,vol0350,('test-GT-masks-WSU/binary/bin_mask_zpr_2152-T1_run1_vol0350.nii.gz',0.936266601,0.880170345
